datetime,hour,day_of_week,is_weekend,temperature_C,humidity_percent,previous_consumption_kWh,consumption_kWh
2025-01-06 06:00:00,6,0,0,22.75,60.56,2.933,1.906
2025-01-06 07:00:00,7,0,0,23.22,68.83,1.906,2.83
2025-01-06 08:00:00,8,0,0,23.72,62.37,2.83,2.635
2025-01-06 09:00:00,9,0,0,22.02,67.65,2.635,2.622
2025-01-06 10:00:00,10,0,0,19.41,67.89,2.622,2.096
2025-01-06 11:00:00,11,0,0,20.63,60.26,2.096,2.18
2025-01-06 12:00:00,12,0,0,17.64,63.67,2.18,1.802
2025-01-06 13:00:00,13,0,0,18.65,71.23,1.802,2.624
2025-01-06 14:00:00,14,0,0,15.36,67.04,2.624,2.245
2025-01-06 15:00:00,15,0,0,18.03,64.56,2.245,2.3
2025-01-06 16:00:00,16,0,0,13.73,65.24,2.3,2.356
2025-01-06 17:00:00,17,0,0,13.92,71.98,2.356,1.77
2025-01-06 18:00:00,18,0,0,15.46,78.95,1.77,3.435
2025-01-06 19:00:00,19,0,0,12.56,65.61,3.435,3.133
2025-01-06 20:00:00,20,0,0,15.25,68.92,3.133,3.295
2025-01-06 21:00:00,21,0,0,17.66,73.93,3.295,2.443
2025-01-06 22:00:00,22,0,0,14.33,69.14,2.443,2.857
2025-01-06 23:00:00,23,0,0,18.22,68.69,2.857,2.66
2025-01-07 00:00:00,0,1,0,19.83,59.82,2.66,1.473
2025-01-07 01:00:00,1,1,0,21.91,65.61,1.473,1.468
2025-01-07 02:00:00,2,1,0,20.09,63.99,1.468,1.188
2025-01-07 03:00:00,3,1,0,21.0,69.13,1.188,1.232
2025-01-07 04:00:00,4,1,0,24.56,67.29,1.232,1.649
2025-01-07 05:00:00,5,1,0,24.72,74.17,1.649,1.602
2025-01-07 06:00:00,6,1,0,24.82,64.04,1.602,2.88
2025-01-07 07:00:00,7,1,0,24.79,62.8,2.88,2.685
2025-01-07 08:00:00,8,1,0,22.75,63.77,2.685,1.89
2025-01-07 09:00:00,9,1,0,23.33,60.57,1.89,2.631
2025-01-07 10:00:00,10,1,0,22.38,64.79,2.631,1.859
2025-01-07 11:00:00,11,1,0,19.67,63.79,1.859,1.782
2025-01-07 12:00:00,12,1,0,22.24,64.05,1.782,1.925
2025-01-07 13:00:00,13,1,0,18.86,72.5,1.925,2.277
2025-01-07 14:00:00,14,1,0,15.16,63.84,2.277,2.567
2025-01-07 15:00:00,15,1,0,16.89,73.19,2.567,2.268
2025-01-07 16:00:00,16,1,0,13.65,76.67,2.268,1.967
2025-01-07 17:00:00,17,1,0,15.79,67.77,1.967,2.139
2025-01-07 18:00:00,18,1,0,16.18,57.45,2.139,3.202
2025-01-07 19:00:00,19,1,0,13.38,67.26,3.202,3.026
2025-01-07 20:00:00,20,1,0,16.56,74.24,3.026,2.795
2025-01-07 21:00:00,21,1,0,16.53,67.66,2.795,2.537
2025-01-07 22:00:00,22,1,0,18.18,61.46,2.537,2.784
2025-01-07 23:00:00,23,1,0,20.99,61.68,2.784,2.85
2025-01-08 00:00:00,0,2,0,19.28,69.78,2.85,1.341
2025-01-08 01:00:00,1,2,0,19.81,67.88,1.341,1.246
2025-01-08 02:00:00,2,2,0,20.81,63.15,1.246,1.129
2025-01-08 03:00:00,3,2,0,21.96,61.6,1.129,1.562
2025-01-08 04:00:00,4,2,0,23.86,59.95,1.562,1.153
2025-01-08 05:00:00,5,2,0,24.99,56.4,1.153,2.115
2025-01-08 06:00:00,6,2,0,25.06,69.03,2.115,2.505
2025-01-08 07:00:00,7,2,0,25.72,58.81,2.505,2.913
2025-01-08 08:00:00,8,2,0,24.0,67.89,2.913,2.25
2025-01-08 09:00:00,9,2,0,25.36,68.32,2.25,3.077
2025-01-08 10:00:00,10,2,0,21.75,68.59,3.077,2.362
2025-01-08 11:00:00,11,2,0,25.02,58.82,2.362,2.676
2025-01-08 12:00:00,12,2,0,20.59,66.55,2.676,2.479
2025-01-08 13:00:00,13,2,0,17.07,67.23,2.479,2.381
2025-01-08 14:00:00,14,2,0,15.54,64.05,2.381,1.959
2025-01-08 15:00:00,15,2,0,16.84,69.15,1.959,2.107
2025-01-08 16:00:00,16,2,0,14.98,63.12,2.107,1.923
2025-01-08 17:00:00,17,2,0,15.89,74.23,1.923,2.358
2025-01-08 18:00:00,18,2,0,15.36,66.39,2.358,3.017
2025-01-08 19:00:00,19,2,0,14.71,70.24,3.017,3.423
2025-01-08 20:00:00,20,2,0,14.05,71.18,3.423,3.307
2025-01-08 21:00:00,21,2,0,13.84,68.63,3.307,3.432
2025-01-08 22:00:00,22,2,0,16.48,70.75,3.432,2.779
2025-01-08 23:00:00,23,2,0,19.64,62.92,2.779,2.988
2025-01-09 00:00:00,0,3,0,20.17,69.22,2.988,1.936
2025-01-09 01:00:00,1,3,0,19.28,58.85,1.936,1.196
2025-01-09 02:00:00,2,3,0,22.61,63.54,1.196,0.982
2025-01-09 03:00:00,3,3,0,23.97,71.52,0.982,0.94
2025-01-09 04:00:00,4,3,0,22.86,57.71,0.94,1.66
2025-01-09 05:00:00,5,3,0,24.91,57.68,1.66,1.423
2025-01-09 06:00:00,6,3,0,24.94,63.62,1.423,2.619
2025-01-09 07:00:00,7,3,0,22.97,63.52,2.619,2.609
2025-01-09 08:00:00,8,3,0,24.72,62.98,2.609,2.914
2025-01-09 09:00:00,9,3,0,24.23,64.06,2.914,2.911
2025-01-09 10:00:00,10,3,0,23.98,64.99,2.911,2.174
2025-01-09 11:00:00,11,3,0,22.73,68.37,2.174,2.509
2025-01-09 12:00:00,12,3,0,17.79,68.82,2.509,1.997
2025-01-09 13:00:00,13,3,0,17.15,66.07,1.997,2.081
2025-01-09 14:00:00,14,3,0,18.12,69.86,2.081,2.042
2025-01-09 15:00:00,15,3,0,17.09,76.83,2.042,2.397
2025-01-09 16:00:00,16,3,0,16.29,67.3,2.397,2.343
2025-01-09 17:00:00,17,3,0,20.8,59.49,2.343,2.138
2025-01-09 18:00:00,18,3,0,15.71,73.97,2.138,3.612
2025-01-09 19:00:00,19,3,0,16.73,67.02,3.612,2.905
2025-01-09 20:00:00,20,3,0,16.95,56.57,2.905,3.5
2025-01-09 21:00:00,21,3,0,17.29,71.4,3.5,3.356
2025-01-09 22:00:00,22,3,0,16.88,64.82,3.356,3.066
2025-01-09 23:00:00,23,3,0,19.7,64.79,3.066,3.256
2025-01-10 00:00:00,0,4,0,18.9,67.54,3.256,0.951
2025-01-10 01:00:00,1,4,0,20.99,65.16,0.951,1.219
2025-01-10 02:00:00,2,4,0,21.83,67.09,1.219,1.182
2025-01-10 03:00:00,3,4,0,23.71,59.85,1.182,1.591
2025-01-10 04:00:00,4,4,0,27.86,61.28,1.591,2.569
2025-01-10 05:00:00,5,4,0,22.08,62.03,2.569,1.764
2025-01-10 06:00:00,6,4,0,26.08,63.83,1.764,3.456
2025-01-10 07:00:00,7,4,0,22.47,66.1,3.456,2.674
2025-01-10 08:00:00,8,4,0,23.68,57.38,2.674,2.687
2025-01-10 09:00:00,9,4,0,25.22,66.25,2.687,2.907
2025-01-10 10:00:00,10,4,0,22.65,60.2,2.907,1.906
2025-01-10 11:00:00,11,4,0,19.73,69.25,1.906,2.502
2025-01-10 12:00:00,12,4,0,18.98,67.65,2.502,2.43
2025-01-10 13:00:00,13,4,0,19.78,74.37,2.43,2.24
2025-01-10 14:00:00,14,4,0,16.46,66.71,2.24,2.13
2025-01-10 15:00:00,15,4,0,16.84,65.78,2.13,1.683
2025-01-10 16:00:00,16,4,0,15.79,68.27,1.683,1.85
2025-01-10 17:00:00,17,4,0,14.25,68.09,1.85,2.503
2025-01-10 18:00:00,18,4,0,18.27,70.38,2.503,2.996
2025-01-10 19:00:00,19,4,0,16.18,59.98,2.996,3.247
2025-01-10 20:00:00,20,4,0,12.69,65.58,3.247,3.335
2025-01-10 21:00:00,21,4,0,16.8,62.22,3.335,2.661
2025-01-10 22:00:00,22,4,0,16.56,72.5,2.661,2.928
2025-01-10 23:00:00,23,4,0,20.04,73.52,2.928,3.045
2025-01-11 00:00:00,0,5,1,19.07,65.22,3.045,1.718
2025-01-11 01:00:00,1,5,1,21.38,63.05,1.718,2.417
2025-01-11 02:00:00,2,5,1,23.52,62.54,2.417,1.298
2025-01-11 03:00:00,3,5,1,25.09,66.74,1.298,2.407
2025-01-11 04:00:00,4,5,1,22.79,58.13,2.407,1.789
2025-01-11 05:00:00,5,5,1,24.59,62.52,1.789,2.323
2025-01-11 06:00:00,6,5,1,24.55,66.24,2.323,3.035
2025-01-11 07:00:00,7,5,1,24.11,64.22,3.035,2.705
2025-01-11 08:00:00,8,5,1,27.24,60.16,2.705,4.157
2025-01-11 09:00:00,9,5,1,24.4,66.48,4.157,2.751
2025-01-11 10:00:00,10,5,1,20.87,50.79,2.751,2.619
2025-01-11 11:00:00,11,5,1,22.93,66.05,2.619,2.614
2025-01-11 12:00:00,12,5,1,23.44,58.98,2.614,2.744
2025-01-11 13:00:00,13,5,1,20.51,55.44,2.744,2.865
2025-01-11 14:00:00,14,5,1,15.48,71.17,2.865,2.677
2025-01-11 15:00:00,15,5,1,16.0,75.07,2.677,2.577
2025-01-11 16:00:00,16,5,1,17.83,66.05,2.577,2.248
2025-01-11 17:00:00,17,5,1,14.37,74.27,2.248,2.197
2025-01-11 18:00:00,18,5,1,15.92,76.32,2.197,3.963
2025-01-11 19:00:00,19,5,1,16.59,74.3,3.963,3.909
2025-01-11 20:00:00,20,5,1,14.54,77.57,3.909,3.374
2025-01-11 21:00:00,21,5,1,16.63,71.4,3.374,3.337
2025-01-11 22:00:00,22,5,1,12.9,71.06,3.337,3.006
2025-01-11 23:00:00,23,5,1,17.43,59.05,3.006,3.453
2025-01-12 00:00:00,0,6,1,20.08,63.7,3.453,1.882
2025-01-12 01:00:00,1,6,1,19.88,60.88,1.882,2.185
2025-01-12 02:00:00,2,6,1,25.41,71.53,2.185,1.989
2025-01-12 03:00:00,3,6,1,21.85,62.64,1.989,1.666
2025-01-12 04:00:00,4,6,1,24.13,62.31,1.666,1.936
2025-01-12 05:00:00,5,6,1,25.49,63.37,1.936,2.607
2025-01-12 06:00:00,6,6,1,27.62,59.12,2.607,3.948
2025-01-12 07:00:00,7,6,1,23.14,70.97,3.948,2.632
2025-01-12 08:00:00,8,6,1,26.54,56.66,2.632,4.074
2025-01-12 09:00:00,9,6,1,24.01,62.76,4.074,3.26
2025-01-12 10:00:00,10,6,1,21.49,60.1,3.26,2.239
2025-01-12 11:00:00,11,6,1,22.45,56.44,2.239,2.879
2025-01-12 12:00:00,12,6,1,20.76,61.33,2.879,2.877
2025-01-12 13:00:00,13,6,1,18.27,66.2,2.877,2.634
2025-01-12 14:00:00,14,6,1,18.07,64.4,2.634,2.605
2025-01-12 15:00:00,15,6,1,16.35,64.46,2.605,2.678
2025-01-12 16:00:00,16,6,1,16.3,60.93,2.678,2.253
2025-01-12 17:00:00,17,6,1,16.62,67.28,2.253,2.383
2025-01-12 18:00:00,18,6,1,17.84,59.2,2.383,3.128
2025-01-12 19:00:00,19,6,1,13.77,73.78,3.128,3.769
2025-01-12 20:00:00,20,6,1,19.33,65.95,3.769,3.043
2025-01-12 21:00:00,21,6,1,14.0,62.51,3.043,3.701
2025-01-12 22:00:00,22,6,1,17.73,65.27,3.701,3.149
2025-01-12 23:00:00,23,6,1,20.05,61.2,3.149,3.107
2025-01-13 00:00:00,0,0,0,21.08,65.73,3.107,1.208
2025-01-13 01:00:00,1,0,0,21.02,70.88,1.208,1.278
2025-01-13 02:00:00,2,0,0,22.85,53.34,1.278,1.72
2025-01-13 03:00:00,3,0,0,23.46,62.81,1.72,0.788
2025-01-13 04:00:00,4,0,0,24.11,60.91,0.788,1.839
2025-01-13 05:00:00,5,0,0,26.77,62.94,1.839,2.628
2025-01-13 06:00:00,6,0,0,26.2,61.11,2.628,2.851
2025-01-13 07:00:00,7,0,0,24.45,57.68,2.851,2.39
2025-01-13 08:00:00,8,0,0,26.34,58.33,2.39,3.855
2025-01-13 09:00:00,9,0,0,24.66,57.29,3.855,2.719
2025-01-13 10:00:00,10,0,0,24.38,66.87,2.719,1.964
2025-01-13 11:00:00,11,0,0,22.9,62.79,1.964,2.474
2025-01-13 12:00:00,12,0,0,19.42,74.97,2.474,2.319
2025-01-13 13:00:00,13,0,0,18.53,65.87,2.319,2.016
2025-01-13 14:00:00,14,0,0,19.28,62.03,2.016,2.289
2025-01-13 15:00:00,15,0,0,18.04,59.0,2.289,1.933
2025-01-13 16:00:00,16,0,0,16.3,58.94,1.933,2.393
2025-01-13 17:00:00,17,0,0,16.01,60.27,2.393,2.29
2025-01-13 18:00:00,18,0,0,17.58,68.27,2.29,3.449
2025-01-13 19:00:00,19,0,0,14.95,71.59,3.449,3.29
2025-01-13 20:00:00,20,0,0,17.15,59.37,3.29,3.524
2025-01-13 21:00:00,21,0,0,16.82,72.02,3.524,2.975
2025-01-13 22:00:00,22,0,0,17.84,64.32,2.975,2.586
2025-01-13 23:00:00,23,0,0,21.02,64.92,2.586,2.923
2025-01-14 00:00:00,0,1,0,22.1,71.38,2.923,1.887
2025-01-14 01:00:00,1,1,0,23.38,66.78,1.887,1.096
2025-01-14 02:00:00,2,1,0,25.32,59.4,1.096,1.738
2025-01-14 03:00:00,3,1,0,24.43,57.0,1.738,1.665
2025-01-14 04:00:00,4,1,0,26.22,49.27,1.665,2.244
2025-01-14 05:00:00,5,1,0,25.23,57.22,2.244,1.759
2025-01-14 06:00:00,6,1,0,26.35,58.86,1.759,3.487
2025-01-14 07:00:00,7,1,0,25.5,55.67,3.487,3.604
2025-01-14 08:00:00,8,1,0,25.34,60.07,3.604,3.134
2025-01-14 09:00:00,9,1,0,25.29,61.15,3.134,2.951
2025-01-14 10:00:00,10,1,0,22.14,62.17,2.951,1.731
2025-01-14 11:00:00,11,1,0,25.3,57.51,1.731,2.708
2025-01-14 12:00:00,12,1,0,19.36,66.36,2.708,2.511
2025-01-14 13:00:00,13,1,0,17.75,69.01,2.511,2.369
2025-01-14 14:00:00,14,1,0,20.1,59.47,2.369,2.234
2025-01-14 15:00:00,15,1,0,18.52,73.24,2.234,2.042
2025-01-14 16:00:00,16,1,0,17.47,66.53,2.042,1.845
2025-01-14 17:00:00,17,1,0,16.98,67.51,1.845,2.234
2025-01-14 18:00:00,18,1,0,15.85,71.86,2.234,3.545
2025-01-14 19:00:00,19,1,0,14.69,70.42,3.545,2.814
2025-01-14 20:00:00,20,1,0,16.65,72.45,2.814,3.481
2025-01-14 21:00:00,21,1,0,16.31,69.39,3.481,3.119
2025-01-14 22:00:00,22,1,0,19.83,62.08,3.119,3.232
2025-01-14 23:00:00,23,1,0,19.35,67.33,3.232,2.475
2025-01-15 00:00:00,0,2,0,19.83,59.42,2.475,1.024
2025-01-15 01:00:00,1,2,0,21.88,64.04,1.024,1.313
2025-01-15 02:00:00,2,2,0,24.18,61.49,1.313,1.555
2025-01-15 03:00:00,3,2,0,23.75,60.96,1.555,1.859
2025-01-15 04:00:00,4,2,0,24.16,61.03,1.859,1.715
2025-01-15 05:00:00,5,2,0,26.26,50.58,1.715,2.305
2025-01-15 06:00:00,6,2,0,26.43,57.11,2.305,2.978
2025-01-15 07:00:00,7,2,0,25.13,61.36,2.978,3.204
2025-01-15 08:00:00,8,2,0,24.69,62.05,3.204,2.616
2025-01-15 09:00:00,9,2,0,24.95,55.9,2.616,3.464
2025-01-15 10:00:00,10,2,0,21.39,70.21,3.464,2.047
2025-01-15 11:00:00,11,2,0,20.25,60.47,2.047,2.587
2025-01-15 12:00:00,12,2,0,19.99,69.86,2.587,2.404
2025-01-15 13:00:00,13,2,0,19.45,67.58,2.404,2.216
2025-01-15 14:00:00,14,2,0,19.03,62.54,2.216,2.105
2025-01-15 15:00:00,15,2,0,19.74,74.08,2.105,2.104
2025-01-15 16:00:00,16,2,0,18.02,60.62,2.104,2.225
2025-01-15 17:00:00,17,2,0,15.99,72.8,2.225,2.044
2025-01-15 18:00:00,18,2,0,16.04,73.17,2.044,3.168
2025-01-15 19:00:00,19,2,0,14.73,65.86,3.168,3.159
2025-01-15 20:00:00,20,2,0,16.71,74.6,3.159,3.103
2025-01-15 21:00:00,21,2,0,17.1,66.07,3.103,2.443
2025-01-15 22:00:00,22,2,0,19.05,67.2,2.443,2.996
2025-01-15 23:00:00,23,2,0,18.53,67.48,2.996,2.565
2025-01-16 00:00:00,0,3,0,22.04,62.69,2.565,1.077
2025-01-16 01:00:00,1,3,0,24.86,65.17,1.077,1.228
2025-01-16 02:00:00,2,3,0,23.6,66.09,1.228,0.917
2025-01-16 03:00:00,3,3,0,25.4,51.94,0.917,1.562
2025-01-16 04:00:00,4,3,0,26.63,66.22,1.562,2.225
2025-01-16 05:00:00,5,3,0,25.49,52.29,2.225,2.585
2025-01-16 06:00:00,6,3,0,26.6,64.88,2.585,3.162
2025-01-16 07:00:00,7,3,0,26.11,65.74,3.162,3.284
2025-01-16 08:00:00,8,3,0,25.74,54.95,3.284,3.326
2025-01-16 09:00:00,9,3,0,23.64,60.03,3.326,2.758
2025-01-16 10:00:00,10,3,0,23.8,56.43,2.758,2.099
2025-01-16 11:00:00,11,3,0,23.3,61.28,2.099,1.891
2025-01-16 12:00:00,12,3,0,23.44,60.71,1.891,2.597
2025-01-16 13:00:00,13,3,0,21.41,67.77,2.597,2.702
2025-01-16 14:00:00,14,3,0,21.99,69.96,2.702,1.814
2025-01-16 15:00:00,15,3,0,16.58,74.72,1.814,1.934
2025-01-16 16:00:00,16,3,0,18.24,63.6,1.934,2.048
2025-01-16 17:00:00,17,3,0,16.71,66.59,2.048,1.784
2025-01-16 18:00:00,18,3,0,19.55,56.94,1.784,3.443
2025-01-16 19:00:00,19,3,0,15.22,64.79,3.443,3.018
2025-01-16 20:00:00,20,3,0,15.67,73.29,3.018,3.625
2025-01-16 21:00:00,21,3,0,16.83,75.61,3.625,3.273
2025-01-16 22:00:00,22,3,0,15.58,62.37,3.273,2.935
2025-01-16 23:00:00,23,3,0,19.18,62.69,2.935,3.067
2025-01-17 00:00:00,0,4,0,20.32,64.61,3.067,1.642
2025-01-17 01:00:00,1,4,0,22.98,64.02,1.642,1.209
2025-01-17 02:00:00,2,4,0,24.47,57.37,1.209,1.327
2025-01-17 03:00:00,3,4,0,27.81,60.87,1.327,2.764
2025-01-17 04:00:00,4,4,0,27.22,56.86,2.764,2.823
2025-01-17 05:00:00,5,4,0,25.43,60.59,2.823,2.109
2025-01-17 06:00:00,6,4,0,25.11,63.64,2.109,2.379
2025-01-17 07:00:00,7,4,0,27.03,59.41,2.379,3.36
2025-01-17 08:00:00,8,4,0,23.81,59.77,3.36,2.598
2025-01-17 09:00:00,9,4,0,27.74,58.26,2.598,4.017
2025-01-17 10:00:00,10,4,0,25.73,59.97,4.017,3.217
2025-01-17 11:00:00,11,4,0,22.05,61.51,3.217,1.843
2025-01-17 12:00:00,12,4,0,18.89,64.59,1.843,2.361
